,genre_name,id,vote_average,popularity,pal_intensity_1,pal_intensity_2,pal_intensity_3,pal_intensity_4,pal_intensity_5,avg_red,avg_blue,avg_green
0,Comedy,57119,6.0,0.915237,765,764,763,764,762,254.59999999999999,254.59999999999999,254.40000000000001
1,Comedy,18607,5.8,0.013215,763,765,762,760,761,254.59999999999999,254.59999999999999,253.0
2,Thriller,157845,6.1,0.756773,0,2,763,44,47,57.600000000000001,58.0,55.600000000000001
3,Romance,37786,5.3,1.855184,765,745,742,762,764,249.19999999999999,252.59999999999999,253.80000000000001
4,Documentary,164558,7.8,0.240729,765,0,762,3,759,152.59999999999999,152.59999999999999,152.59999999999999
5,Thriller,265010,5.7,0.193307,0,765,3,96,93,63.799999999999997,63.799999999999997,63.799999999999997
6,Action,14805,6.1,0.457365,0,3,6,1,4,1.3999999999999999,0.80000000000000004,0.59999999999999998
7,Comedy,51017,6.8,0.36767,762,765,367,763,757,248.80000000000001,230.19999999999999,203.80000000000001
8,Thriller,14148,5.6,1.215669,0,3,3,1,1,0.80000000000000004,0.40000000000000002,0.40000000000000002
9,Thriller,43549,6.4,1.037775,55,52,49,58,46,18.0,18.0,16.0
10,Action,227707,5.1,1.814227,765,763,8,4,10,106.40000000000001,102.0,101.59999999999999
11,Action,76726,6.6,3.026935,3,600,603,597,606,150.19999999999999,156.59999999999999,175.0
12,Romance,4523,6.6,3.131241,341,339,344,351,353,0.59999999999999998,145.80000000000001,199.19999999999999
13,Drama,291351,6.2,2.347394,267,270,263,260,260,194.59999999999999,31.600000000000001,37.799999999999997
14,Action,26428,6.9,1.684494,765,24,27,21,30,57.799999999999997,57.799999999999997,57.799999999999997
15,Comedy,317198,6.1,0.048996,0,2,1,765,1,51.200000000000003,51.200000000000003,51.399999999999999
16,Thriller,322766,5.5,0.393557,6,9,0,3,12,2.0,2.0,2.0
17,Drama,381284,7.7,13.430275,280,277,283,271,274,88.0,91.0,98.0
18,Comedy,10683,7.4,0.709069,476,0,476,1,1,98.799999999999997,74.0,18.0
19,Animation,234567,7.5,0.570761,290,286,283,287,293,178.59999999999999,60.399999999999999,48.799999999999997
20,Comedy,82679,5.5,0.572515,3,3,6,12,5,4.4000000000000004,1.2,0.20000000000000001
21,Thriller,7457,6.6,2.521632,0,3,6,9,10,1.3999999999999999,2.2000000000000002,2.0
22,Comedy,12079,6.6,0.426024,41,38,36,44,33,12.4,12.4,13.6
