movie_id,genres_list
209112,[28]
271110,[28]
329865,"[18, 28, 53]"
284052,[28]
246655,[28]
269149,"[16, 28, 35, 10751]"
259316,[28]
330459,"[18, 28]"
127380,"[16, 28, 35, 10751]"
328111,"[16, 28, 35, 10751]"
313369,"[18, 35, 10749]"
278927,"[18, 28]"
277834,"[16, 28, 35, 10751]"
47933,[28]
188927,"[28, 53]"
258489,[28]
324668,"[28, 53]"
283366,"[18, 28]"
333371,[28]
324786,[18]
333484,"[18, 28]"
68735,[28]
121856,[28]
43074,"[18, 28, 53]"
207932,[53]
296096,"[18, 10749]"
299687,[28]
302946,"[18, 53, 80]"
343611,"[18, 28, 53, 80]"
262504,[28]
363676,[18]
259693,[53]
267860,"[28, 53, 80]"
302699,"[28, 35]"
140300,"[16, 28, 35, 10751]"
346672,"[28, 53]"
328387,"[28, 53, 80]"
340666,"[18, 53]"
332567,"[18, 53]"
290595,"[18, 28]"
241259,[28]
325133,[35]
291870,"[28, 35]"
381284,[18]
296524,"[18, 28]"
259694,"[35, 10749]"
278924,"[28, 53, 80]"
376867,[18]
205584,[28]
316727,"[28, 53]"
334541,[18]
376659,[35]
338766,"[18, 80]"
302401,"[18, 53]"
303858,[53]
321258,[53]
334543,[18]
153518,"[16, 28, 35, 10751]"
300671,"[18, 28, 53]"
345920,"[18, 10749]"
278154,"[16, 28, 35, 10751]"
345911,[53]
308531,"[28, 35]"
95610,[35]
173897,"[28, 53]"
136799,"[16, 28, 10751]"
329833,[35]
146198,[53]
316023,"[35, 10749]"
267193,"[28, 35]"
313297,"[16, 28, 10751]"
245703,"[18, 28]"
339397,"[18, 35, 10749]"
376570,[53]
301365,[53]
356305,[35]
379170,"[18, 53, 80]"
319888,"[18, 35]"
311324,[28]
396535,"[28, 53]"
258230,"[18, 28]"
300673,"[18, 28, 53]"
323675,"[28, 35]"
303991,"[18, 35]"
271969,"[18, 28]"
381341,"[18, 35]"
376660,"[18, 35]"
393457,[18]
325789,"[18, 53, 80]"
369557,"[18, 10749]"
335796,[53]
318121,"[18, 35]"
376866,[18]
309886,"[28, 53]"
351211,[53]
68730,[18]
331313,"[28, 35]"
330483,"[18, 10749]"
389053,"[28, 35]"
323676,[35]
329440,[53]
318781,"[18, 10749]"
323677,"[18, 28]"
324670,"[28, 53]"
342521,"[28, 35]"
295699,[35]
384682,[35]
316152,"[18, 28, 53]"
399106,"[16, 10751]"
374416,[35]
337674,"[18, 53]"
377264,"[28, 53]"
